shop_name,shop_address,location
老头爱马仕酸豇豆炒饭,丰富路105号,"118.786984811,32.0413855467"
全聚德(新街口店),王府大街8号测绘大厦4楼,"118.786725123,32.0465819583"
章云板鸭店,建邺路98号,"118.78698079,32.0371144601"
bluefrog蓝蛙(艾尚天地店),中山路100号艾尚天地A座1层111号、2层211,"118.79110945,32.0525823051"
鲍师傅糕点(新街口一店),中山南路67号大华大戏院1层西北角,"118.791117137,32.0453405221"
胖哥俩肉蟹煲(中央商场店),中山南路79号中央商场8层,"121.508000151,31.2300674345"
南京大牌档(德基广场店),中山路18号德基广场购物中心一期7楼,"118.791108525,32.0515790439"
猫抓烤肉(新街口新百店),中山东路18号新百B座5层,"118.791482949,32.0471182469"
人全到饭店(南秀村店),南秀村15号-1,"118.782444014,32.0609530768"
星怡会(德基广场店),中山路18号德基广场2期7层,"118.791108525,32.0515790439"
酵墅(石鼓路店),石鼓路33号,"117.211930946,31.7934712807"
风尚·紫荆湾餐厅(大洋店),中山南路新街口大洋百货5楼,"118.789356766,32.045191785"
米贩传奇(金鹰店),汉中路89号金鹰国际购物中心B座8楼,"118.785588464,32.0478845682"
翠华餐厅(德基广场店),中山路18号德基广场1期7层,"118.79114911,32.0491111112"
藤原布二(广州路店),广州路易发科技大厦228-2号,"118.778411969,32.0578176688"
原麦山丘(新街口店),汉中路金鹰二期金鹰国际购物中心一楼,"120.169966008,33.3458505561"
小辣江湖·海鲜龙虾季(户部街店),户部街29号,"118.795866127,32.0414609898"
南京大牌档(金茂汇店),中央路201号,"118.789874909,32.0790424354"
南京食朝汇(德基广场店),中山路18号德基广场1期6层,"118.79114911,32.0491111112"
大叻越南风味餐厅(艾尚天地店),中山路100号艾尚天地A座3层,"118.79110945,32.0525823051"
麻小麻辣诱惑(德基广场店),德基广场二期707,"118.791108525,32.0515790439"
度小月,中山南路2号东方福来德商城5层,"118.789843558,32.0468182683"
多佐多国料理(新街口店),石鼓路33号环亚广场4层,"118.783032285,32.0476435545"
辛香汇(新百店),中山南路3号南京新百B座5层,"118.79094524,32.0476758417"
狮王府(新街口店),汉中路27号，友谊广场5F,"118.788289669,32.0476834902"
柏烤堂烧烤(洪武路店),洪武路115号,"118.795049106,32.044994722"
赤坂亭(新城市店),草场门大街99号新城市广场4层,"118.74773704,32.0621145808"
Popeye 80’炸鸡&啤酒主题餐厅(新街口店),汉中路管家桥9号华新美食城2楼,"118.788244664,32.0492332634"
辣府(新街口店),石鼓路33号,"117.211930946,31.7934712807"
红军龙虾·新民路总店,新民路金川门外5号,"118.764093799,32.0960209733"
米贩传奇(德基店),中山路18号德基广场1期8楼L801号,"118.79114911,32.0491111112"
米纸越南小馆·PHO(国金店),中山南路2号东方福来德B1,"118.789843558,32.0468182683"
西贝莜面村(南京新街口金鹰店),汉中路89号金鹰国际购物中心B座8层,"118.785588464,32.0478845682"
和满楼,丰富路44号,"118.78607964,32.0394667169"
别走,中山东路136-2号,"121.449218608,29.3040942294"
水林间(紫峰店),中山北路6号紫峰购物广场2楼,"118.789292357,32.0672105319"
颐和公馆冬饮庐中餐厅,江苏路29号,"124.901275913,46.6253131641"
南京大牌档(狮子桥店),湖南路狮子桥2号湖南路步行街内,"118.784805433,32.072612627"
无一烦椰子·甜品,洪武路新街口正洪大厦14楼1408室,"118.793531343,32.0460960132"
