shop_name,shop_address,location
胖子砂锅,文体西路19号,"123.430464824,41.7667134415"
万氏小胖子功夫龙虾(奥体拉德芳斯店),富春江东街82-10号,"118.736868641,32.0030446758"
南虾北羊(应天大街总店),应天大街847号,"118.751978363,32.0246742566"
熊本の家(金鹰世界店),应天大街888号金鹰世界9楼,"118.746944372,32.0290619339"
Wagas沃歌斯(南京河西金鹰),河西新城应天大街888号1层F123商铺,"117.236165451,39.0844937396"
郭呆龙虾馆(南湖店),莫愁湖街道君莱商务中心南湖东路22号,"118.767101337,32.0326425424"
METOOCATE米桃餐厅(金鹰世界店),应天大街888号金鹰购物中心7楼,"118.774169062,34.5253769859"
小厨娘淮扬菜(金鹰世界店),应天大街888号金鹰世界8楼820室,"118.746944372,32.0290619339"
解牛,白龙江西街62号111室,"118.719255852,32.0045380537"
L'Arôme Express芳芳简餐厅(河西万达店),江东中路98号万达广场三楼,"118.74266583,32.0385846932"
浅葱小唱,云锦路169号乐基广场B1-2,"118.747832406,32.0305882686"
南京大牌档(河西金鹰店),应天大街888号金鹰世界8层F801,"118.746944372,32.0290619339"
绿茶餐厅(南京二店),江东中路98号建邺万达广场3楼C座,"118.743858531,32.0389956613"
万氏小胖子功夫龙虾(云锦路总店),云锦路83-5号,"118.750016232,32.0348927424"
魏虾神,朝天宫西街61号,"118.778774055,32.0416014397"
大蓉和(江东中路店),江东中路209号,"118.743907088,32.0222221001"
花见小路(河西店),金源广场B1楼,"115.688684697,41.6757612235"
悠云 Yun Cake,水西门大街291号,"118.750400109,32.0395272172"
素匠泰茶(河西万达店),集庆门大街220-26号,"118.74216412,32.0359307689"
Mr&MrsLight;轻食恋仁(南京金奥国际店),江东中路329号南京金奥国际购物中心B1层,"118.732363503,32.0047803347"
左庭右院鲜牛肉火锅(金鹰世界店),应天大街888号金鹰世界8层F808,"118.746944372,32.0290619339"
池户水产(金鹰世界店),应天大街888号金鹰世界广场内LG1层FB07-2商铺,"118.746944372,32.0290619339"
精悦蓉(金鹰世界店),应天大街888号金鹰世界8层,"118.746944372,32.0290619339"
VVG chin chin好样卿卿,江东中路236号华灯坊CL104,"118.730557749,32.0053670938"
TheWingItalianRestaurant意之翼-意大利餐厅(中央商场...,江东中路237号中央商场2层,"118.738524532,32.0126947971"
糊世刺身(建邺万达店),建邺万达西地福园街129号-14,"116.441665049,39.9497081102"
云海肴云南菜(金鹰世界店),应天大街888号金鹰世界8层F817,"118.746944372,32.0290619339"
METOOCATE米桃餐厅(缤润汇店),楠溪江东街83号缤润汇购物中心负二楼,"118.735834825,31.9990082836"
牛大大烧烤(河西店),南京建邺区水西门大街215号,"118.757901688,32.0396899079"
鹿塔 lutte(河西金鹰世界店),应天大街888号金鹰世界4楼光年公园02商铺,"118.746944372,32.0290619339"
寶仔記(万达贰街区店),集庆门大街220-21,"118.742123791,32.035610865"
梅纪食堂,万达广场一街区福园街129-21号,"118.743710758,32.0361083396"
WILD荒野西式餐吧(乐基店),所街乐基广场一楼,"118.747832406,32.0305882686"
小菜园新徽菜(金鹰世界店),应天大街888号金鹰世界广场7层,"118.746944372,32.0290619339"
必喜烤肉(金鹰世界店),应天大街888号金鹰世界9楼F906,"118.746944372,32.0290619339"
有家酸菜鱼(建邺万达店),江东中路98号，建邺万达百货负一楼,"118.742551545,32.0388172528"
鑫楼淮扬菜馆,所街37-1号,"118.763641075,32.0228903953"
老头儿油爆虾(金鹰世界店),应天大街888号金鹰世界内8层F811号商铺,"118.746944372,32.0290619339"
星港街茶餐厅,福园街137号-3万达西地,"118.743416424,32.0371064497"
爸爸糖手工吐司(河西万达店),集庆门大街220-72号,"118.742455133,32.0366997529"
高鑫de龙虾生活(应天大街总店),应天大街839-1号恒山路口处,"130.916266805,45.1385708331"
虾客行龙虾海鲜烧烤,河西大街230号台湾名品城3馆21号,"118.723537113,32.0073631704"
沪茗轩酒楼,楠溪江东街78号仁恒G53商业街,"118.738784252,31.9987725988"
角角落烧烤店,所街87号,"118.760980796,32.0243156214"
宴金陵,莫愁湖东路48号1-1,"118.773183722,32.0430074127"
探鱼(河西金鹰店),应天大街888号8楼,"118.74708154,32.0294621316"
敏珠拉姆藏式主题餐厅(建邺富春江东街店),富春江东街82-4号,"118.736327073,32.0033996408"
一台戏重庆火锅·小龙虾,燕山路79号-6,"118.740943594,32.0371269834"
孔雀先生龙虾海鲜馆,乐山路209号江湾新天地一楼,"113.491527333,22.976674144"
小郡肝串串香火锅•龙虾,文体路99号,"118.764061,32.0262010153"
嗨鲜·龙虾海鲜大咖,云锦路万达金街东区129号,"118.752235925,32.0396216367"
一芳台湾水果茶(建邺万达店),万达中心G座福园街133号,"118.744083111,32.035614246"
花津浦(建邺万达店),江东中路98号万达广场3楼321-323号铺,"118.74266583,32.0385846932"
Lady Pineapple,奥体中心49号停车柱,"106.51299055,29.5326901795"
威雀西班牙餐厅酒吧 VIE CHAT(金鹰世界店),应天大街河西金鹰9楼,"117.236165451,39.0844937396"
爸爸糖手工吐司(奥体店),新安江街65-1号万达华府西苑门面房,"118.743923331,32.0029619951"
高线 HIGHLINE DESSERTS & MORE(福园街店),福园街113-7号,"118.748087742,32.0374227175"
鲜界大连海鲜烧烤,应天大街839-6号,"118.753362545,32.0239913328"
小青森锅物,集庆门大街220-37号,"118.74242458,32.0361197334"
秦滋汉味(金鹰世界店),应天大街888号金鹰世界中心7楼,"118.746944372,32.0290619339"
避风塘(虹悦城店),应天大街619号虹悦城4楼M10,"118.772547855,32.0151614877"
椒串连连,乐山路113-30号,"118.732190947,32.028416813"
川城(金鹰世界店),应天大街888号金鹰世界广场8层F821-3号,"118.746944372,32.0290619339"
蒸朋满福(文体路店),文体路105-6号,"118.762066514,32.0227911762"
金陵江滨酒店景荟自助餐厅,万景园路8号金陵江滨酒店内,"118.715988275,32.0173639556"
三介锅小郡肝串串香(河西万达店),集庆门大街220-40号,"118.7419342,32.0363105348"
白音塔娜涮羊肉·烧烤龙虾夜宵(集庆门大街店),集庆门大街38号,"118.766871066,32.0280632223"
大开沙界Max&Salad;(建邺万达店),江东中路万达百货一楼,"118.742551545,32.0388172528"
羊小签徐州烧烤,集庆门大街220-38号万达西地二街区,"118.740970979,32.0367772093"
爸爸糖手工吐司(招商雍华府店),南京招商雍华府斜对面,"118.758725687,32.0161632706"
海心阁海鲜茶餐厅(金奥国际店),江东中路329号金奥国际购物中心4层,"118.732363503,32.0047803347"
三袋寿司(建邺万达店),江东中路98号建邺万达广场万达百货B1楼,"118.742551545,32.0388172528"
鮨·原箸,江东中路236号华灯坊1楼,"118.730557749,32.0053670938"
赵崽儿川式面品料理(金鹰世界店),应天大街888号金鹰世界内九层f902商铺,"118.746944372,32.0290619339"
朴家韩国料理(缤润汇店),楠溪江东街83号缤润汇购物中心B208号,"118.736115822,31.9988664889"
Pizza Marzano玛尚诺(金鹰世界店),应天大街888号金鹰世界1层F124商铺,"118.746944372,32.0290619339"
greenjoy绿享轻食(金鹰世界店),应天大街888号金鹰世界B1层W12,"118.746944372,32.0290619339"
外婆私房菜(中央商场店),江东中路237号,"118.738298069,32.0128514045"
楼兰新疆主题餐厅(南京金鹰世界店),应天大街888号金鹰世界7层F720,"118.746944372,32.0290619339"
