shop_name,shop_address,location
小秦川,机场小区珍珠北路188号,"119.038133584,31.6704132137"
金津道炭火烤肉(尚溧城店),永阳街道珍珠南路14号,"119.037680085,31.6573054713"
和遇创意料理,大东门商业步行街,"119.036887282,31.65742854"
今宴壹号,凤麟水苑原售楼部,"119.032742177,31.6451705049"
一点点(通济街名仕阁店),通济街名仕阁3栋104室,"119.03356759,31.663104505"
宴天下,秀园路1号水岸新都南门口旁,"119.048541296,31.6500670292"
土灶世家(溧水店),永阳街道宝塔路80-8号,"119.029108533,31.6683058418"
鼎有名兄弟龙虾(溧水店),永阳镇淮源街三元新村66号,"119.041974352,31.6536103635"
九门捞火锅,天生桥大道铂金大厦1楼,"119.039184074,31.64417745"
兜妈披萨专门店,通济街名仕阁3栋1011,"119.03356759,31.663104505"
元祖食品(溧水店),南京溧水县永阳镇宝塔路9号,"119.030598687,31.6655018141"
风波庄(溧水分舵),近郊通济街南侧西河沿3幢4号,"116.410304555,39.9572117831"
兄弟龙虾(广成二店),珍珠南路广成东方名城,"119.041939148,31.6464298686"
VIVI ROMAR(康利华府店),志远路康利华府,"119.046061327,31.6469454272"
肯德基(南京通济街店),溧水县通济街8号,"119.039927134,31.596963064"
小秦川,机场小区珍珠北路188号,"119.038133584,31.6704132137"
金津道炭火烤肉(尚溧城店),永阳街道珍珠南路14号,"119.037680085,31.6573054713"
和遇创意料理,大东门商业步行街,"119.036887282,31.65742854"
今宴壹号,凤麟水苑原售楼部,"119.032742177,31.6451705049"
一点点(通济街名仕阁店),通济街名仕阁3栋104室,"119.03356759,31.663104505"
宴天下,秀园路1号水岸新都南门口旁,"119.048541296,31.6500670292"
土灶世家(溧水店),永阳街道宝塔路80-8号,"119.029108533,31.6683058418"
鼎有名兄弟龙虾(溧水店),永阳镇淮源街三元新村66号,"119.041974352,31.6536103635"
九门捞火锅,天生桥大道铂金大厦1楼,"119.039184074,31.64417745"
兜妈披萨专门店,通济街名仕阁3栋1011,"119.03356759,31.663104505"
元祖食品(溧水店),南京溧水县永阳镇宝塔路9号,"119.030598687,31.6655018141"
风波庄(溧水分舵),近郊通济街南侧西河沿3幢4号,"116.410304555,39.9572117831"
兄弟龙虾(广成二店),珍珠南路广成东方名城,"119.041939148,31.6464298686"
VIVI ROMAR(康利华府店),志远路康利华府,"119.046061327,31.6469454272"
肯德基(南京通济街店),溧水县通济街8号,"119.039927134,31.596963064"
小秦川,机场小区珍珠北路188号,"119.038133584,31.6704132137"
金津道炭火烤肉(尚溧城店),永阳街道珍珠南路14号,"119.037680085,31.6573054713"
和遇创意料理,大东门商业步行街,"119.036887282,31.65742854"
今宴壹号,凤麟水苑原售楼部,"119.032742177,31.6451705049"
一点点(通济街名仕阁店),通济街名仕阁3栋104室,"119.03356759,31.663104505"
宴天下,秀园路1号水岸新都南门口旁,"119.048541296,31.6500670292"
土灶世家(溧水店),永阳街道宝塔路80-8号,"119.029108533,31.6683058418"
鼎有名兄弟龙虾(溧水店),永阳镇淮源街三元新村66号,"119.041974352,31.6536103635"
九门捞火锅,天生桥大道铂金大厦1楼,"119.039184074,31.64417745"
兜妈披萨专门店,通济街名仕阁3栋1011,"119.03356759,31.663104505"
元祖食品(溧水店),南京溧水县永阳镇宝塔路9号,"119.030598687,31.6655018141"
风波庄(溧水分舵),近郊通济街南侧西河沿3幢4号,"116.410304555,39.9572117831"
兄弟龙虾(广成二店),珍珠南路广成东方名城,"119.041939148,31.6464298686"
VIVI ROMAR(康利华府店),志远路康利华府,"119.046061327,31.6469454272"
肯德基(南京通济街店),溧水县通济街8号,"119.039927134,31.596963064"
小秦川,机场小区珍珠北路188号,"119.038133584,31.6704132137"
金津道炭火烤肉(尚溧城店),永阳街道珍珠南路14号,"119.037680085,31.6573054713"
和遇创意料理,大东门商业步行街,"119.036887282,31.65742854"
今宴壹号,凤麟水苑原售楼部,"119.032742177,31.6451705049"
一点点(通济街名仕阁店),通济街名仕阁3栋104室,"119.03356759,31.663104505"
宴天下,秀园路1号水岸新都南门口旁,"119.048541296,31.6500670292"
土灶世家(溧水店),永阳街道宝塔路80-8号,"119.029108533,31.6683058418"
鼎有名兄弟龙虾(溧水店),永阳镇淮源街三元新村66号,"119.041974352,31.6536103635"
九门捞火锅,天生桥大道铂金大厦1楼,"119.039184074,31.64417745"
兜妈披萨专门店,通济街名仕阁3栋1011,"119.03356759,31.663104505"
元祖食品(溧水店),南京溧水县永阳镇宝塔路9号,"119.030598687,31.6655018141"
风波庄(溧水分舵),近郊通济街南侧西河沿3幢4号,"116.410304555,39.9572117831"
兄弟龙虾(广成二店),珍珠南路广成东方名城,"119.041939148,31.6464298686"
VIVI ROMAR(康利华府店),志远路康利华府,"119.046061327,31.6469454272"
肯德基(南京通济街店),溧水县通济街8号,"119.039927134,31.596963064"
金津道炭火烤肉(尚溧城店),永阳街道珍珠南路14号,"119.037680085,31.6573054713"
和遇创意料理,大东门商业步行街,"119.036887282,31.65742854"
一点点(通济街名仕阁店),通济街名仕阁3栋104室,"119.03356759,31.663104505"
鼎有名兄弟龙虾(溧水店),永阳镇淮源街三元新村66号,"119.041974352,31.6536103635"
九门捞火锅,天生桥大道铂金大厦1楼,"119.039184074,31.64417745"
兜妈披萨专门店,通济街名仕阁3栋1011,"119.03356759,31.663104505"
元祖食品(溧水店),南京溧水县永阳镇宝塔路9号,"119.030598687,31.6655018141"
蛙大大碳烤牛蛙,永阳街道宝塔路9号万辰国际广场9-40室,"119.029988602,31.6649904837"
七鲜天迷踪蟹,永阳镇交通路47-5号,"119.038217036,31.6645401189"
贰食好己,石湫镇横山西路8号影都商汇4幢105室,"118.915971709,31.6481905091"
陈先生的肉肉(尚溧城店),珍珠路尚溧城5楼,"119.037287389,31.6573544027"
邱阿婆石锅饭,老中医院对面南北码头和民丰镇银行巷内20米,"83.352763187,37.1731466936"
芝根芝底(中大街店),中大街48号,"121.648405366,31.1566240866"
八乐居,双塘路财贸新村45栋1021---1024号,"119.033302272,31.6674912616"
麦香新语,天生桥大道康利商业广场和谐小豆腐旁,"119.04656935,31.644702512"
小秦川,机场小区珍珠北路188号,"119.038133584,31.6704132137"
金津道炭火烤肉(尚溧城店),永阳街道珍珠南路14号,"119.037680085,31.6573054713"
和遇创意料理,大东门商业步行街,"119.036887282,31.65742854"
今宴壹号,凤麟水苑原售楼部,"119.032742177,31.6451705049"
一点点(通济街名仕阁店),通济街名仕阁3栋104室,"119.03356759,31.663104505"
宴天下,秀园路1号水岸新都南门口旁,"119.048541296,31.6500670292"
土灶世家(溧水店),永阳街道宝塔路80-8号,"119.029108533,31.6683058418"
鼎有名兄弟龙虾(溧水店),永阳镇淮源街三元新村66号,"119.041974352,31.6536103635"
九门捞火锅,天生桥大道铂金大厦1楼,"119.039184074,31.64417745"
兜妈披萨专门店,通济街名仕阁3栋1011,"119.03356759,31.663104505"
元祖食品(溧水店),南京溧水县永阳镇宝塔路9号,"119.030598687,31.6655018141"
风波庄(溧水分舵),近郊通济街南侧西河沿3幢4号,"116.410304555,39.9572117831"
兄弟龙虾(广成二店),珍珠南路广成东方名城,"119.041939148,31.6464298686"
VIVI ROMAR(康利华府店),志远路康利华府,"119.046061327,31.6469454272"
