shop_name,shop_address,location
卢大鲜(美利广场店),葛关路818号美利广场四楼,"118.756450865,32.2487005014"
素匠泰茶(六合紫晶店),雄州街道环城南路2-1号（紫晶广场克莉斯汀旁）,"118.849557877,32.3459067254"
万氏小胖子功夫龙虾(大厂店),大厂街道草芳路567-569号,"118.753409366,32.2337501834"
辣啡(美利广场),大厂葛关路818号美利广场四楼,"116.955076449,39.8953163551"
呷哺呷哺(美利广场店),葛关路818号2-24号商铺,"118.756000732,32.2483289881"
老厨人深海炖锅(永利店),大厂十村永利购物中心4楼美食城,"116.955076449,39.8953163551"
霸王龙虾(大厂店),草芳路600号,"118.754337044,32.2325199015"
85度c,新华路化工园区紫晶环球内,"118.767977185,32.2373707528"
天山明珠(美利广场店),葛关路与江北大道交叉口美利广场4楼,"118.756450865,32.2487005014"
俺村小院(金宁银座店),板门口龙津路8-2号金宁银座3楼,"118.84896761,32.3468640666"
大刘龙虾,秦苑路31号,"118.857429464,32.3524018492"
首釜年糕火锅(美利广场店),美利广场4楼,"118.756450865,32.2487005014"
豪客来牛排(美利广场店),葛塘街道葛关路818号美利广场二层2-01铺位,"118.756450865,32.2487005014"
源香潮汕粥(美利广场店),葛塘街道葛关路818号美利广场4-16号,"118.756450865,32.2487005014"
赶蟹海鲜大咖时尚餐厅(美利广场店),葛关路818美利广场4楼,"118.756450865,32.2487005014"
爸爸糖手工吐司(旭东新城店),大厂园西路319号,"116.955076449,39.8953163551"
潮记阿土先生,杨村二路山畔四村26幢门面房,"118.763160854,32.2420387437"
花榭花开音乐酒馆,十村葛关路329号,"118.769664503,32.2356822366"
四川皇三爷火锅(园西路店),大厂草芳路555号,"116.955076449,39.8953163551"
泰熙家(大厂美利广场店),葛关路818号美利广场2幢105室,"118.755411568,32.248015443"
小厨禾,大厂葛关路818号美利广场一楼商铺,"116.955076449,39.8953163551"
八化建麻辣烫,大厂新华西路杨庄北村车站旁,"116.955076449,39.8953163551"
宽窄巷子串串香(美利广场店),葛中北路美利广场外面一楼海棠花街沿街商铺,"109.736054574,18.3814179049"
勾魂龙虾(汇锦水岸城总店),雄州西路朝天街汇景水岸城浮桥南口19号,"118.846108205,32.3439393989"
肯德基(南京金利店),大厂区新华路永利晶华城一楼,"118.753087501,32.2283248075"
鱼无双(美利广场店),葛关路818号美利广场4楼,"118.756450865,32.2487005014"
权鑫烤肉(园西路店),园西路237号,"121.716867842,31.038130492"
农家土灶台,竹镇镇侍郎路68号,"118.695394405,32.5200365168"
必胜客(南京大厂永利店),新华路138号一层二层,
巧盒(大厂店),大厂区草芳路553路,"118.75345458,32.2340381469"
泰熙家,环城南路紫晶广场一区05栋101室,"118.850003795,32.3447596503"
厝内小眷村,龙津路8-137,"118.848772734,32.3469539377"
老厨人深海炖锅(时代广场店),时代广场3楼,"119.377992023,34.7477405741"
新石器烤肉(美利广场店),葛塘街道葛关路818号美利广场4层,"118.756450865,32.2487005014"
盱眙赵氏龙虾烧烤(玉桥店),大厂毕洼路218号,"116.955076449,39.8953163551"
雅园啤酒鸭馆,大厂区新华路105号,"118.752205358,32.2278005124"
维一之夏居酒屋(新华路店),新华路121号-19号,
来一锅鱼虾跳,雄州街道沿河路汇景水岸城13幢13-1号,"118.846108205,32.3439393989"
考不烤肉(长冲步行街店),长冲街16号1056四季花街,"118.770519846,32.2363272284"
彤德莱火锅(美利广场店),葛关路806号美利广场负一楼,"118.756450865,32.2487005014"
醉爱江南,大厂平顶山路622号,"116.955076449,39.8953163551"
常四汤包(六合总店),文昌街165号,"126.657728631,45.747394737"
家奥果木牛排(鑫乐广场店),新华路138号鑫乐广场三楼,"109.194446097,27.7333377326"
满庭芳私房菜馆,雄州街道龙津路金宁银座3楼,"118.846642615,32.3421213653"
醉成都花房串串音乐餐吧(大厂草芳路店),草芳路561号,"118.753575226,32.2339664933"
泸溪河,新华路,
杨军老锅底(十村店),大厂葛关路419号,"116.955076449,39.8953163551"
百家汇餐厅,紫霞街35号,"118.851337299,32.3462208852"
福记海鲜大排档,平顶山路大山许31号,"118.766112527,32.2534775516"
二牛龙虾(草芳路店),大厂草芳路75号,"116.955076449,39.8953163551"
老香港Cake Tale(美利广场店),葛关路820号美利广场三号出入口负一楼华润苏果出入口处,"118.756450865,32.2487005014"
西厂门老字号小肠面,太子山路223号,"118.765176403,32.2201385845"
鲜芋仙,大厂葛关路818号美利广场,"116.955076449,39.8953163551"
庆善园韩国料理(鑫乐生活广场店),鑫乐生活广场3楼,"118.753530958,32.2274668535"
金达莱韩式烤肉,雄州街道前街21号,"118.846687895,32.3470392142"
蜀锦香厕所串串(美利广场店),大厂葛关路818号,"116.955076449,39.8953163551"
暮.日式料理,大厂十村长冲步行街18号1012号客来福巷子内行40米,"116.955076449,39.8953163551"
豪客来牛排(大厂苏宁店-0608),长冲街88号苏宁电器,"118.7712189,32.2369326369"
石榴姐火锅米线(美利广场店),葛关路美利广场海棠花街中间位置,"109.736054574,18.3814179049"
coco都可(美利广场店),葛关路818号美利广场负一层105号专柜,"118.756450865,32.2487005014"
天山盛筵(鑫乐生活广场店),大厂新华路138号鑫乐生活广场3楼F3-6号,"116.955076449,39.8953163551"
宽窄巷子成都串串香(十村店),长冲街77号客来福巷子向里50米,"118.770274051,32.2370190794"
天山盛筵(时代广场店),时代广场2楼,"114.193817643,22.2814091434"
味上居(阿卡店),晓山路102-7号大厂阿尔卡迪亚商业街内,"116.955076449,39.8953163551"
褚记北京烤鸭店(六合店),长江路1号金宁乐活城3楼,"118.848862156,32.3477019735"
