shop_name,shop_address,location
Popeye 80’波派炸鸡&啤酒,弘阳广场B1馆4楼,"119.934796422,31.7585398273"
胖哥俩肉蟹煲(弘阳广场店),大桥北路48号弘阳广场4楼,"118.735632352,32.1405255441"
外婆私房菜(弘阳广场店),大桥北路弘阳广场B1馆四楼01号,"118.730648134,32.1449059908"
大喜馄饨,新马路4号浦铁一村内,"126.639437606,45.7789186653"
熊本の家(弘阳广场店),大桥北路48号弘阳广场B馆未来世界馆3楼,"118.735632352,32.1405255441"
顺风123(弘阳广场店),大桥北路48号,"118.729698141,32.1448530112"
晋家门(弘阳广场店),大桥北路弘阳广场B1馆4楼,"118.730648134,32.1449059908"
金五爷龙虾(浦口店),江山路9号和天下家园3栋,"118.743886427,32.1349915305"
厝内小眷村(弘阳店),大桥北路,"119.793360585,31.8812949174"
牛芝家(弘阳店),大桥北路48号B1-F1-19,"118.730711879,32.1440615581"
卢大鲜(1914店),江山路老浦口1914街区3栋,"118.748943214,32.1428497158"
蘭芳園(弘阳店),大桥北路48号,"118.729698141,32.1448530112"
雀舞·云南菜(弘阳广场店),大桥北路48号弘阳广场4楼,"118.735632352,32.1405255441"
小厨娘淮扬菜(弘阳广场店),大桥北路48号弘阳广场B区4F,"118.735632352,32.1405255441"
宽窄巷子(桥北店),泰达路体育中心c区一楼,"116.293914791,38.4947850437"
南京大牌档(印象汇店),大桥北路58号印象汇4层,"118.728854198,32.1462827247"
盱眙龙虾(旗舰总店),龙华路8号,"125.123088755,46.5362688169"
南洋往事(弘阳广场店),大桥北路48号弘阳广场B馆3楼,"118.735632352,32.1405255441"
一勺鲜(1914总店),江山路19号老浦口1914街区6号楼-2,"118.747315709,32.1428970662"
褚记北京烤鸭店(弘阳二期店),南京浦口区大桥北路48号弘阳广场B2-F4-02,"118.732775556,32.1432607733"
酱宝之家,大桥北路48号B1馆1楼,"118.730711879,32.1440615581"
剧说(弘阳广场店),大桥北路48号弘阳广场4F,"118.735632352,32.1405255441"
探鱼(印象汇店),大桥北路48号新一城4楼,"118.728008189,32.1465943517"
爸爸糖手工吐司(浦口弘阳店),柳洲东路旭日上城3区2幢106号,"118.732052127,32.1468743149"
MANGOSIX(弘阳广场店),大桥北路弘阳B2区F1层05号,"118.730902039,32.1458182898"
刘记弟兄龙虾(江浦店),河滨路5-2号,"116.735451196,24.7231601648"
奶酪时光(弘阳广场店),浦口区大桥北路48号弘阳广场购物中心3楼01A,"118.735632352,32.1405255441"
掌上韩品(印象汇店),南京市浦口区泰山街道大桥北路58号印象汇商场B1-06B,"118.72821194,32.1463690964"
素匠泰茶(印象汇店),大桥北路印象汇一楼,"118.728854198,32.1462827247"
老厨人深海炖锅(京新广场店),柳洲东路189号京新广场4楼,"118.74975643,32.1475499677"
鲜入围煮港式火锅(天润城店),天华南路1号天润城十六街区8栋109-110号,"118.730355234,32.1533348897"
漫雪の茶(天悦城店),百润路天悦城一楼,"118.740312833,32.1567715854"
阿珠麻辣串,江浦街道文德东路30-1号,"118.637298672,32.0666831853"
壹豆老卤,海都路金盛田·阳光青城西南门,"106.282454723,29.2829739295"
百粥坊(弘阳广场店),大桥北路48号B区4层,"118.730711879,32.1440615581"
豆腐王朝(慕斯荟店),浦珠南路26号慕斯荟4楼,"118.652375985,32.0796107087"
869音乐烤吧(江畔明珠店),大桥北路江山路9号,"118.742265884,32.1353126926"
万氏小胖子功夫龙虾(江山路店),江山路和南浦路交口浦泰和天下商铺,"118.607086199,28.5819699441"
肥猫啵啵鱼,大桥北路旭日上城3区18栋114室,"118.732052127,32.1468743149"
鹅货,大桥北路江畔明珠苏尚广场,"118.742143535,32.1355651726"
馋猫食堂(金盛田店),江浦街道龙华路8号,"118.647013161,32.0746947935"
ThomasQ托马斯侨餐厅酒吧,弘扬广场大桥北路58号印象汇一楼01-20,"118.728854198,32.1462827247"
嗑茶(弘阳广场店),大桥北路弘阳广场B1馆四楼,"118.730648134,32.1449059908"
伊兹铁板烧(金盛田店),江浦街道海都路8号金盛田广场二楼,"118.645828155,32.0752430572"
一勺鲜(林公堤店),上河街2号林公堤民国风情街区3栋-2,"118.634920172,32.0596408859"
大嘴龙虾,浦园北路,"118.730563311,32.117079356"
布莱恩炸鸡(金盛田店),江浦街道龙华路8号金盛田广场二楼,"118.647013161,32.0746947935"
石上百味(新一城店),大桥北路柳洲东路新一城4楼,"118.728008189,32.1465943517"
渔猫の刺身(深夜食堂),天华南路新一城后街三号胡同内,"118.728008189,32.1465943517"
桜の千渡(慕斯荟店),浦珠南路26号慕斯荟购物中心3F301B,"118.652648283,32.0799657416"
唠叨婆肉蟹煲(金盛田店),江浦街道龙华路8号金盛田广场二楼,"118.647013161,32.0746947935"
川荡江湖火锅(公园北路店),江浦街道珠海路1号领域花园17栋,"118.637748892,32.0706381132"
泰熙家(大洋百货弘阳广场店),大桥北路48号大洋百货1层,"118.73065843,32.1441564106"
盱眙王氏龙虾·总店,江浦街道团结路与珠泉西路交叉口北侧,"118.632817185,32.0518044965"
盱眙倪氏龙虾(弘阳广场店),柳州东路6号弘阳旭日上城3区,"118.74136668,32.1470026254"
福辣辣韩式料理,大桥北路大洋百货1楼,"118.73065843,32.1441564106"
沙拉拉轻食(浦口珠江路店),江浦珠江路3号01栋101室,"118.643598152,32.0696061967"
九毛九山西面馆(新一城店),大桥北路58号南京新一城购物中心四楼04-16b/16c号铺,"118.72923237,32.1455657334"
必胜客宅急送(天润广场店),柳州东路1号天润城第七街区商业中心大空间商业室二层,"118.730419779,32.149889659"
秦都biangbiang面(文德路店),文德东路17-4号,"113.279757282,23.1274657997"
1點點(浦口凤凰大街店),江浦街道二条巷5号106室,"118.632620584,32.064754488"
素匠泰茶,文昌路凤凰花园1栋门面房2号,"118.632485078,32.0664709653"
金陵肉燃掂(金盛田店),江浦金盛田广场二楼sfc上影内,"113.549841353,23.1493726616"
老港记甜品(金盛田店),江浦街道龙华路8号金盛田广场二楼,"118.647013161,32.0746947935"
千之代日式料理,江浦街道林公堤商业街8-2幢,"118.747227801,32.1428433871"
宽窄巷子(江畔明珠店),江山路苏尚生活广场内,"117.197814036,39.1503123383"
延边四月,镇南河路万汇尊邸3幢110号,"118.663687508,32.0714796172"
王子牛蛙(慕斯荟店),江浦街道慕斯荟,"118.652375985,32.0796107087"
港粤汇,龙华路107号（过长江隧道）,"114.740534024,30.5438099265"
源香潮汕粥(弘阳广场店),大桥北路48号弘阳广场B2区F2层02号,"118.735632352,32.1405255441"
食轻堂.LightHouse,柳州东路6号印象汇后街商铺旭日上城3期1栋,"118.74136668,32.1470026254"
欢乐牧人蒙古炭烤羊排(老浦口1914店),柳洲东路老浦口1914商业街,"118.748229495,32.142855299"
黄金包饭供需间(浦口印象汇总店),弘阳广场印象汇后街3号胡同巷内,"118.728854198,32.1462827247"
鼎峰馅饼(泰亿店),大厂街道芳庭路泰亿步行街B-2-104号,"118.742509617,32.2204633837"
