shop_name,shop_address,location
鹿谷製茶(万达茂金街店),守敬路万达茂金街9号4栋103室,"120.14038158,30.294991851"
大叻越南风味餐厅(仙林金鹰店),仙林大学城学海路1号金鹰奥莱城F馆G层6-106,"118.932938685,32.1079256981"
麻喜大(烧烤啤酒屋),文范路9号康桥圣菲2栋103室,"118.920810069,32.1005055637"
一芳台湾水果茶(九霄梦天地),学衡路1号九霄梦天地B1层01-2号,"118.922921958,32.0996526291"
万氏小胖子功夫龙虾(仙林文范路店),文范路9号,"118.921482325,32.100966391"
西贝莜面村(仙林金鹰店),仙林街道学津路1号金鹰湖滨天地4层B区-3D,"111.281295146,34.7717776729"
清漫小酒馆(东城汇店),文苑路8号东城汇3号楼2层263-265号,"118.915630929,32.1040619344"
美鲜夜集之龙虾季(迈皋桥店),迈皋桥华电路长营村38栋,"118.819893367,32.1095505415"
威雀西班牙餐厅VIECHAT(学则路店),仙林街道学则路1号九霄一层1F06,"118.923084857,32.0995971693"
黄油·面包轻食餐厅(九霄梦天地店),学衡路1号九霄梦天地负一楼,"118.922921958,32.0996526291"
南京食朝汇(仙林店),学海路1号金鹰湖滨天地A区D馆1楼4-202商铺,"111.281295146,34.7717776729"
褚记北京烤鸭店(九霄梦天地店),学衡路1号九霄梦天地3F-10,"118.922921958,32.0996526291"
晋家门(仙林九霄店),仙林街道学衡路1号九霄梦天地3层3F09号单元,"118.922921958,32.0996526291"
蛙来哒炭烧牛蛙(仙林金鹰店),仙林街道学津路1号金鹰湖滨天地B区四层D-32号,"111.281295146,34.7717776729"
酱子 深夜食堂,文苑路8号东城汇,"118.915192073,32.1035541116"
松子澍,文范路9号6-108,"118.921045617,32.1012141623"
左庭右院鲜牛肉火锅(南京仙林金鹰店),学津路1号金鹰湖滨天地B区四层D-09,"111.281295146,34.7717776729"
晓勇龙虾馆(丁家庄店),华银路20号燕升园小区底商,"118.866226012,32.1160318067"
和风食堂(马群招商花园店),中山门大街以北招商花园城一楼,"118.901546994,32.0571730349"
探鱼(仙林金鹰店),学津路1号金鹰湖滨天地B馆3楼,"111.281295146,34.7717776729"
味中味龙虾馆,马群新街55号,"118.902580986,32.0579050318"
夜上海(仙林金鹰店),学津路金鹰湖滨天地B区2楼,"111.281295146,34.7717776729"
云渡餐厅,仙林文范路9号,"118.921482325,32.100966391"
鱼无双(九霄店),学衡路1号九霄梦天地三楼,"118.922921958,32.0996526291"
川西集市老火锅(金鹰奥莱城店),学海路1号金鹰奥莱城F馆2层,"118.932938685,32.1079256981"
花津浦(仙林金鹰二期店),学津路与杉湖西路交口东北角,"118.929055497,32.1054936032"
剧说(仙林九霄店),学衡路1号九霄梦天地负1层,"118.922921958,32.0996526291"
金玺泰茶(亚东美食街店),学衡路5号亚东步行街1-39B10,"89.1467461796,27.7720204691"
兴和轩(仙林大学店),仙林大学城文苑路东城汇4楼,"118.915192073,32.1035541116"
水林间(仙林店),仙林大学城学海路1号金鹰奥莱城D馆2层,"118.932666334,32.1088124297"
望湘园(仙林金鹰店),学津路1号金鹰湖滨天地B区4楼D-11,"111.281295146,34.7717776729"
绛云楼(马群花园城店),中山门大街699号花园城2楼220号铺,"118.900633552,32.0575905641"
桃花源记,仙林大学城学津路1号金鹰湖滨天地B区3楼,"111.281295146,34.7717776729"
Pizza Marzano玛尚诺(南京金鹰湖滨天地店),学津路1号金鹰滨湖天地B座一楼A-25店铺,"108.371800422,30.8247588926"
石上百味(仙林金鹰湖滨天地店),仙林学津路1号B1F-20号商铺,"118.929296909,32.1064515201"
胖哥俩肉蟹煲(花园城购物中心店),中山门大街699号花园城购物中心1层,"118.902112972,32.0583979986"
三介锅小郡肝串串香火锅(南邮广场店),学海路南邮广场美食街2栋109号,"118.931409516,32.1268435006"
甘尼仕香料小馆(金鹰奥莱城店),仙林大学城学海路1号金鹰奥莱城F馆G层,"118.932938685,32.1079256981"
大家韩国料理,尧新大道7号新吉华商务酒店1楼东侧,"118.878178186,32.1201211019"
厝内小眷村,华电西路6号,"116.46630018,31.6851573582"
Mr.Pizza米斯特比萨(南京仙林店),仙林大学城学海路1号金鹰奥莱城D馆G层,"118.932666334,32.1088124297"
黄记煌(金鹰二店),仙林大学城学津路与杉湖西路交叉口金鹰湖滨天地b区负一楼,"111.281295146,34.7717776729"
龙王爷龙虾馆(文范路店),文范路9号康桥圣菲5栋爱尚街区2楼204室,"118.921847935,32.1010390363"
咸平家韩国料理(杉湖西路店),杉湖西路仙林大学城东方天郡门面房6号B-13号,"118.924498246,32.1033496831"
泸溪河桃酥,文范路9号,"118.921482325,32.100966391"
一松亭韩国料理(新港店),南京开发区兴智路6号美食街1楼,"118.884504978,32.1429091768"
光头烧烤(尧化门店),尧化2号路新城佳园门面房10-6号,"118.886253387,32.1244828794"
千利久,仙林大学城文范路9号05栋207室,"118.92152724,32.1015177291"
Axis墨西哥餐厅(亚东商业广场店),仙林大学城仙隐北路亚东商业广场,"118.921802594,32.1000770369"
鱼无双(仙林湖店),学森路8号,"118.984857897,32.1327883886"
秦人陕味(东城汇店),仙林大学城文苑路8号东城汇1层,"118.915192073,32.1035541116"
老厨人深海炖锅(东城汇店),文苑路8号东城汇二楼西中庭,"118.915192073,32.1035541116"
友一家邵伯龙虾,经五路壹城西区56幢三号门面房,"118.840521096,32.1151633013"
梅屋料理,文枢东路7号晴天广场2楼,"118.920151935,32.1033185395"
赛天鲜海鲜捞饭海鲜大咖,仙鹤新天地二楼,"118.910233106,32.0915458278"
沈家门小海鲜,营苑西村24幢-1号,"118.833121246,32.1079419097"
将面,广志路高科荣境商业街3楼西边扶梯口,"118.945388354,32.1372486853"
郭家大院红烧大鱼头(九霄店),学则路地铁口九霄梦天地,"118.926921427,32.0948328208"
汉堡王(仙林金鹰店),学海路1号仙林金鹰湖滨天地B1楼BF-01号商铺,"111.281295146,34.7717776729"
甜茉烘焙&DIY;体验(浅草店),营苑北路9栋-5号,"118.837430516,32.1101415509"
签签向上,言和路万谷·慧生活广场负一楼,"117.197814036,39.1503123383"
新石器烤肉(万谷慧生活店),华电路1号万谷慧生活B1层,"118.819881996,32.1078681216"
茶姬未央(万谷慧店),言和路万谷慧生活广场B1楼110,"118.820279249,32.108779383"
塔可墨西哥餐厅(金鹰奥莱城店),仙林大学城学海路1号金鹰奥莱城F馆G层,"118.932938685,32.1079256981"
轻蔬味哥本餐厅,文苑路与学津路交叉口仙林高创大厦B1楼,"118.929449431,32.1034468622"
新石器烤肉(仙林店),仙林大学城学海路1号金鹰奥莱城D馆G层,"118.932666334,32.1088124297"
晋家门(万谷慧店),华电路1号万谷慧生活4层,"118.819881996,32.1078681216"
虾焰龙虾,文范路康乔圣菲03栋102,"118.924908531,32.1021471245"
掌上韩品,仙林学海路1号仙林金鹰湖滨二期B1F-10,"118.933309146,32.1090730163"
石上百味(迈皋桥店),华电路1号迈皋桥万谷慧商场负一楼,"118.819881996,32.1078681216"
外婆私房菜(花园城店),中山门大街699号花园城购物中心3楼,"118.902112972,32.0583979986"
初前一丁,学衡路5号水平方美食广场2楼,"118.921835524,32.0999867348"
千工藤(九霄梦天地店),学衡路1号九霄梦天地一号BF层B22,"118.922921958,32.0996526291"
鲜芋仙(花园城店),马群中山门大街花园城一楼,"118.900633552,32.0575905641"
糖焙(仙林店),学森路8号荣境品苑2-47栋92室,"120.583360352,31.3196460688"
又卷烧饼,迈皋桥万谷慧生活广场负一楼,"118.820279249,32.108779383"
在巷子里螺蛳粉(仙林二店),学衡路5号亚东城商业步行街1-34室楼下,"118.922695038,32.0994155913"
庆善园韩国料理(万谷慧生活店),华电路1号万谷慧生活B1层,"118.819881996,32.1078681216"
元祖食品(南京仙林店),仙林大学城文苑路18号文苑广场1-103、04,"118.914075826,32.1038424373"
嗨皮儿(万谷慧店),华电路1号万谷慧生活广场负一楼,"118.820279249,32.108779383"
晋家门(马群花园城店),中山门大街699号花园城购物中心3层,"118.902112972,32.0583979986"
回味鸭血粉丝汤(九霄梦天地店),仙林街道学衡路1号南京九霄梦天地B1层01号101号商铺,"118.922921958,32.0996526291"
小杨生煎(九霄梦天地店),学衡路1号九霄梦天地商业B1层BF24号,"118.922921958,32.0996526291"
食其家,仙林九霄梦天地,"118.928174072,32.1083667044"
鱼无双(仙林店),仙林大学城文苑路8号东城汇B1层,"118.915192073,32.1035541116"
勝吉利日本料理(万谷慧店),华电路1号万谷慧生活广场3楼105,"118.820279249,32.108779383"
刘记弟兄龙虾(四店),营苑西村14幢1栋103室（网板路和月苑小区路口）,"118.833126702,32.1095480219"
庆善园韩国料理(花园城购物中心店),中山门大街699号花园城购物中心B1层,"118.902112972,32.0583979986"
和日本料理铁板烧(仙林店),仙林大学城文范路9号103室,"118.921501445,32.1017862822"
千言万语(水平方店),学衡路5号,"118.922449418,32.0999931986"
必胜客(东城汇店),"文苑路与学思路路口文苑广场一,二层","118.915960764,32.1033553819"
