shop_name,shop_address,location
喜茶(水游城店),建康路1号鹏欣水游城B1层T09-T11-1,"118.792291551,32.0299570818"
老头爱马仕酸豇豆炒饭,丰富路105号,"118.786984811,32.0413855467"
多佐多国料理(新街口店),石鼓路33号环亚广场4层,"118.783032285,32.0476435545"
章云板鸭店,建邺路98号,"118.78698079,32.0371144601"
喜茶(中央商场店),中山南路79号中央商场首层临街北门旁UGG对面,"121.508000151,31.2300674345"
鲍师傅糕点(新街口一店),中山南路67号大华大戏院1层西北角,"118.791117137,32.0453405221"
喜茶(大洋百货店),中山南路122号大洋百货首层临街桃园眷村旁,"118.594878361,24.90141114"
美满台式家庭料理,建康路1号鹏欣·水游城B1,"118.791667657,32.029573371"
柏烤堂烧烤(洪武路店),洪武路115号,"118.795049106,32.044994722"
朱三龙虾老店,紫金东路富丽山庄南门正对面,"118.841139252,32.0306907124"
猫抓烤肉(新街口新百店),中山东路18号新百B座5层,"118.791482949,32.0471182469"
胖哥俩肉蟹煲(中央商场店),中山南路79号中央商场8层,"121.508000151,31.2300674345"
许阿姨糕团店,普华巷1号,"118.805833622,32.0447586929"
原麦山丘(新街口店),汉中路金鹰二期金鹰国际购物中心一楼,"120.169966008,33.3458505561"
酵墅(石鼓路店),石鼓路33号,"117.211930946,31.7934712807"
南京大牌档(夫子庙平江府店),大石坝街48号,"118.799131,32.0272300155"
南京大牌档(德基广场店),中山路18号德基广场购物中心一期7楼,"118.791108525,32.0515790439"
大叻越南风味餐厅(艾尚天地店),中山路100号艾尚天地A座3层,"118.79110945,32.0525823051"
星怡会(德基广场店),中山路18号德基广场2期7层,"118.791108525,32.0515790439"
外婆家(新百A座店),中山南路1号新百商场A座8楼,"118.791176553,32.0468437477"
小辣江湖·海鲜龙虾季(户部街店),户部街29号,"118.795866127,32.0414609898"
米贩传奇(金鹰店),汉中路89号金鹰国际购物中心B座8楼,"118.785588464,32.0478845682"
米贩传奇(德基店),中山路18号德基广场1期8楼L801号,"118.79114911,32.0491111112"
辛香汇(新百店),中山南路3号南京新百B座5层,"118.79094524,32.0476758417"
南京食朝汇(德基广场店),中山路18号德基广场1期6层,"118.79114911,32.0491111112"
翠华餐厅(德基广场店),中山路18号德基广场1期7层,"118.79114911,32.0491111112"
南京大牌档(水平方店),建康路3号水平方6楼,"118.793640221,32.0298695077"
田螺大大,近慈悲社/大锏银巷路口,"118.784869532,32.0498286509"
江小胖的龙虾生活,玉带路64号彩霞街菜市场,"118.784570684,32.0296679098"
风尚·紫荆湾餐厅(大洋店),中山南路新街口大洋百货5楼,"118.789356766,32.045191785"
辣府(新街口店),石鼓路33号,"117.211930946,31.7934712807"
全聚德(新街口店),王府大街8号测绘大厦4楼,"118.786725123,32.0465819583"
度小月,中山南路2号东方福来德商城5层,"118.789843558,32.0468182683"
米纸越南小馆·PHO(国金店),中山南路2号东方福来德B1,"118.789843558,32.0468182683"
别走,中山东路136-2号,"121.449218608,29.3040942294"
Popeye 80’炸鸡&啤酒主题餐厅(新街口店),汉中路管家桥9号华新美食城2楼,"118.788244664,32.0492332634"
盱眙朱大龙虾城(新街口店),估衣廊长江花园13号,"118.792634227,32.0526610397"
杨四龙虾,中山南路234号,"118.594906146,24.9037250935"
刘记弟兄龙虾(秦虹路店),秦虹路97号,"118.80832236,32.019216443"
筷子兄弟之精品龙虾(御道街总店),御道街33号-1,"118.823114368,32.0347149319"
bluefrog蓝蛙(艾尚天地店),中山路100号艾尚天地A座1层111号、2层211,"118.79110945,32.0525823051"
狮王府(新街口店),汉中路27号，友谊广场5F,"118.788289669,32.0476834902"
爸爸糖手工吐司,延龄巷119号,"118.798693484,32.0459730087"
好外婆私房菜,科巷37-31号,"118.802698985,32.04565653"
和满楼,丰富路44号,"118.78607964,32.0394667169"
赵德柱炸货铺,淮海路116号,"118.795665546,32.0431505533"
鸡鸣汤包(夫子庙店),中华路金沙井1号,"118.790275281,32.0276131353"
小厨娘淮扬菜(新街口店),中山路132号艾尚天地B座3层,"118.790718687,32.0544324423"
布歌东京MvukeTokyo(德基广场店),中山路18号德基广场1期B1层,"118.79114911,32.0491111112"
恒信牛奶甜品专家(总店),双塘路58号,"118.782296174,32.0290028705"
楼兰新疆主题餐厅(中央商场店),中山南路79号南京中央商场7层,"118.791575568,32.0471100265"
林奶奶炖汤(石鼓路店),石鼓路87号天堂街小区底商,"118.785833613,32.0460572394"
西贝莜面村(南京新街口金鹰店),汉中路89号金鹰国际购物中心B座8层,"118.785588464,32.0478845682"
Wagas沃歌斯(南京金鹰国际店),汉中路89号金鹰国际购物中心B座1层,"118.785588464,32.0478845682"
小厨娘淮扬菜(金城大厦店),龙蟠中路216号金城大厦4F,"118.810877413,32.0427597051"
无穹花韩国料理今子店,慈悲社1号,"118.785389579,32.0490924039"
风龢,中山东路532-1号,"114.56921506,38.0487778234"
清心素食,莫愁路329号越界梦幻城内,"118.779130498,32.043317488"
麻小麻辣诱惑(德基广场店),德基广场二期707,"118.791108525,32.0515790439"
朱小乐的龙虾生活(长白街店),长白街514号,"118.804101306,32.0423217055"
