shop_name,shop_address,location
澳门陈光记烧味饭店,估衣廊长江花园11号,"118.792849953,32.0531278075"
馨罗朝鲜冷面(珠江路店),珠江路199-1号,"118.795098904,32.0562610821"
杨记宫廷桃酥王(总店),珠江路20号,"121.612122921,38.9171660978"
火匠烤串【草原羔羊现烤更好吃】,长江后街288号14号楼,"118.802167591,32.0503314402"
卓粤拉肠,红庙街4号103,"116.407956197,39.8938471113"
樊记销魂面,大纱帽巷38号,"118.799461308,32.0563564579"
小潘记鸭血粉丝汤,长江路安将军巷2号,"118.79753785,32.0533337644"
南京龙宫龙虾(卫岗总店),中山陵东郊风景区卫岗55号,"118.847833426,32.0457014522"
食物招领,进香河路29号-4,"118.796220602,32.0579790864"
西越小站(北门桥店),北门桥10-3号,"118.794271296,32.055108881"
MOMENTUM焱堡有机汉堡餐厅(环亚凯瑟琳店),北京东路1号环亚凯瑟琳广场B1层C-12号,"118.795221353,32.0656401056"
金姐台湾菜(珠江路店),珠江路291号-5,"118.799504115,32.0558339829"
小娘惹,北门桥路10-8号附近,"118.794092018,32.0553069198"
火红龙龙虾馆,珠江路新世界百货一楼东门,"118.794628741,32.055707976"
Wagas沃歌斯(南京艾尚天地购物中心店),中山路100号艾尚天地A座1层101号,"118.79110945,32.0525823051"
浅醉(羲和广场店),薛家巷8号羲和广场1-2楼,"118.791933196,32.0606017669"
红杏酒家(荔枝广场店),北京东路4号省广电荔枝广场5F,"118.792438257,32.063666746"
安东鸡(荔枝广场店),北京东路4号荔枝广场4楼,"118.792438257,32.063666746"
万氏小胖子功夫龙虾(珠江路店),珠江路529号东方大厦1层B座、2层A座,"118.806706709,32.0543324252"
爸爸糖手工吐司(丹凤街店),鱼市街56-3-2号,"118.794457434,32.0579616146"
雏田Hinata(1912店),碑亭巷石婆婆庵1号北楼104室,"118.800191972,32.051393018"
新村又来屋韩国料理店,珠江路北门桥汇文里1—5号,"118.793192141,32.0553567827"
PHOJOY喜越越南餐厅,北京东路环亚凯瑟琳广场负一楼,"118.795221353,32.0656401056"
顺德渔生档(1912店),太平北路60号1912街区5号楼,"118.801851387,32.0509695442"
郝掌柜八鲜焖锅(艾尚店),中山路100号,
素匠泰茶(1912店),长江路268号元祖旁边,"121.857396641,29.9190697163"
MOMENTUM焱堡·美式餐酒吧(艾尚天地店),中山路100号艾尚天地B座1-2层,"118.790718687,32.0544324423"
紫滇源云南生态菜(丹凤街店),薛家巷唱经楼西街59号103,"118.792636569,32.0598535658"
沐沐茶旅,丹凤街73-8号,"118.793442349,32.0619137816"
渝蛙馆(长江花园店),估衣廊长江花园11-1号,"118.793080763,32.0532142572"
一碗豆花,玄武区珠江路375号,"118.800988407,32.055268454"
米小拉,珠江路鱼市街56-11号商铺,"118.794319994,32.0579825005"
千与千寻日本料理,中山路286号羲和广场一楼,"118.791933196,32.0606017669"
无穹花韩国料理(鱼市街店),鱼市街59号,"118.793500302,32.058135746"
食古论今(森林摩尔店),中山门大街森林摩尔负一楼,"118.872206983,32.0442375511"
金榜龙虾(板仓店),板仓街9号,"118.826037,32.0745840242"
菲南斯音乐餐吧,珠江路地铁站1号出口龙世中心争鲜回转寿司楼上二楼,"118.790092568,32.0570060609"
千福牛蛙面,洪武北路138号,"118.795792978,32.0536998582"
食为先(北京东路店),北京东路31号,"118.795983664,32.0646086263"
Cherryの奇妙宮殿(环亚凯瑟琳广场店),环亚凯瑟琳广场半山花园酒吧区1层,"118.795221353,32.0656401056"
Mr.Pizza米斯特比萨(南京珠江路店),珠江路1号金鹰国际购物中心北馆1层,"118.791418377,32.0570144765"
T·BLOSSOM 一花一朵,红山路88号常发广场4幢139,"118.816378928,32.0915623094"
蒸朋满福(成贤街店),成贤街57-1号,"118.801567147,32.0569947327"
褚记北京烤鸭店(小卫街店),小卫街20号,"118.858023417,32.0424978186"
夜上海(荔枝广场店),北京东路荔枝广场3楼零点厅&10楼宴会厅,"118.792438257,32.063666746"
Late autumn深秋,红山路88号常发广场2号写字楼一楼门面88_95,"118.816199604,32.0914744838"
鱼无双(丹凤街店),鱼市街56-5号越时空广场一楼,"118.794319994,32.0579825005"
小菜园新徽菜(金茂汇广场店),中央路201号金茂汇广场7层,"118.790009744,32.0788501844"
香港仔茶餐厅(凯瑟琳广场店),北京东路环亚凯瑟琳广场负1楼,"118.795221353,32.0656401056"
一芳台湾水果茶(珠江路总店),珠江路88-1号新世界百货一楼,"118.794628741,32.055707976"
串越舌尖成都串串,珠江路碑亭巷148号1912对面巷子里,"118.801615959,32.0536334369"
老南京私房菜(四牌楼店),新街口街道四牌楼59-3号,"118.799712054,32.0595779609"
四川香天下火锅(1912店),太平北路66号1912街区A10号楼1单元1-2层,"118.802360987,32.0513197648"
金陵小红烤翅(傅厚岗店),傅厚岗7号,"118.790807799,32.0707273498"
Sweet云南味道(长江后街店),玄武区长江后街5号,"118.803296671,32.0530339617"
米尤里西餐简餐(北门桥店),北门桥路15-9号,"118.793682197,32.055142817"
文泉记澳门粥面庄(金茂汇店),中央路201号金茂汇广场7楼L707B,"118.790009744,32.0788501844"
食为先(黄埔路店),黄埔路2号,"119.29770178,26.1203943582"
the Frypan韩国炸鸡啤酒(南京下马坊店),君临紫金商业街6栋106室,"118.838189279,31.9165060244"
金氏韩国料理,珠江路237号-2,"126.707470629,45.7419357561"
呷哺呷哺(金鹰天地购物中心店),珠江路1号金鹰国际购物中心北馆3层T303-304,"118.791589594,32.0568317038"
鸡鸣赐茶(鸡鸣寺路店),鸡鸣寺路1号,"118.801587285,32.0673819622"
京茶山手作茶物(林业大学店),龙蟠路159号南林二村2幢,"118.816869,32.0825350256"
洋呼November(丹凤街店),丹凤街卫巷29-1号,"118.794791335,32.0584253873"
恒信牛奶甜品专家(红庙店),红庙6号5单元101室,"118.796409898,32.0540794525"
鱼无双(金鹰珠江路店),珠江路1号金鹰国际购物中心北馆3层,"118.791589594,32.0568317038"
二娃小馆(锁金五村店),锁金五村16号,"118.824375976,32.0815986513"
大牌小厨(金鹰珠江路店),珠江路1号金鹰国际购物中心北馆4层,"118.791589594,32.0568317038"
七家湾牛肉锅贴(成贤街店),成贤街103-8号,"118.801937721,32.058219681"
轻捞慢起面馆(新世界百货店),珠江路88号新世界百货1层,"118.794628741,32.055707976"
潮串儿酒吧式炸串店,珠江路381号,"118.80122842,32.055229013"
新白话文,中央路凤凰广场C座一楼,"118.790364216,32.0752273985"
Vision澳洲精致西餐酒吧,北京东路1号环亚凯瑟琳广场,"118.795221353,32.0656401056"
一吾一食时尚餐厅(常发广场店),红山路88号常发广场1号楼4楼,"118.816555671,32.0917779256"
香港十三座,洪武北路137,"118.795296993,32.0536685268"
王子牛蛙(森林摩尔店),中山门大街301号森林摩尔负一楼,"118.872206983,32.0442375511"
成都灌县老妈串串火锅(南大店),广州路16-4号,"119.120989528,33.5904560996"
一茶一坐(金鹰珠江路店),珠江路1号金鹰国际购物中心北馆3层,"118.791589594,32.0568317038"
良皮(新世界百货店),珠江路新世界百货2楼造物街3号,"118.794628741,32.055707976"
哈尼家烘焙坊,珠江路88号新世界百货B栋2019室,"118.794325993,32.0557815842"
新杂志咖啡(省台店),北京东路4号荔枝广场3楼,"118.792438257,32.063666746"
万三胜璟茶餐厅,丹凤街唱经楼西街1-1号,"118.793131524,32.0594296358"
澳門氹記(森林摩尔商业街区店),中山门大街301号森林摩尔商业街区B1层,"118.873027782,32.043964499"
FIREZ 法尔兹蛋糕(亚太店),杨将军巷46号,"118.797803622,32.0533176363"
鸡薯薯,丹凤街10-6号,"118.793809532,32.0625598239"
L’Estaminet陀飞轮,北京东路4号荔枝广场1楼（汉堡王楼下）,"118.792438257,32.063666746"
巴黎贝甜(银城东苑店),后标营路银城东苑1号,"118.85171763,32.0343128729"
鸭得堡老鸭汤鸭血粉丝(珠江路店),通贤桥2号,"118.798250922,32.0549265499"
赖胖子肉蟹煲,红山路88号常发广场4楼,"118.816199604,32.0914744838"
徐建萍汤包(丹凤街店),卫巷29-7号,"118.794877258,32.0583361827"
新石器烤肉(荔枝广场店),北京东路荔枝广场2楼,"118.792438257,32.063666746"
煎饼来了,中山门大街君临紫金商业街,"118.856292802,32.0442111079"
常熟炒浇面馆(红庙店),珠江路红庙小区6号楼109号,"118.796526089,32.0540456457"
京茶山手作茶物(下马坊店),小卫街20号,"118.858023417,32.0424978186"
酵墅(羲和广场店),中山路286号羲和广场,"118.791933196,32.0606017669"
汉堡王(南京森林摩尔店),中山门大街与灵谷寺路交汇处森林摩尔商业街区3号楼108号商铺,"118.876037948,32.0452639394"
火立方海鲜自助火锅,红山路88号常发广场一号楼五楼,"118.816555671,32.0917779256"
山西人家(珠江路马标店),珠江路700-6号,"118.812984845,32.0516970002"
嘚味烧烤龙虾宵夜·徐州特色菜,北门桥2号,"118.795217884,32.0543888835"
董小姐在南京·烧烤吧火锅,洪武北路鸡鹅巷5号长发科技大厦后门,"118.796276503,32.0555639132"
黄福记龙虾青年火锅(北门桥店),北门桥路长江花园1号,"118.7938765,32.0548395409"
大乔小乔时尚餐厅(森林摩尔商业街区店),中山门大街301号森林摩尔商业街区6栋3层,"118.873101806,32.0441902759"
塔可墨西哥餐厅(金茂汇店),中央路201号金茂汇广场5楼,"118.790009744,32.0788501844"
刘老大串串火锅(仙林仙鹤门店),鹤鸣路6号仙鹤新天地广场3号楼1楼106室,"118.910618548,32.0913347314"
小辉哥火锅(南京金茂汇店),中央路201号金茂汇广场8楼L806商铺,"118.790009744,32.0788501844"
石记鸭血粉丝汤,锁金村,"118.823153322,32.0747944176"
就酱吧,曼度广场东门二楼耘集B002号,"120.903316562,31.9727558775"
百萬石日本料理,后标营路东苑路2号百万石日式料理,"118.851185961,32.0345899695"
严先森炒饭,珠江路237,"118.797676012,32.0558651634"
拾叁茶(珠江路店),中山大厦2-4号,"117.210514003,39.1692738285"
弗兰肯啤酒花园餐厅(环亚凯瑟琳广场店),北京东路1号环亚凯瑟琳广场半山花园2-3楼,"118.795221353,32.0656401056"
井上岩日本料理(曼度广场店),杨将军巷9号,"118.800627615,32.0517535754"
塔可墨西哥餐厅(金鹰店),珠江路1号金鹰国际购物中心南馆5层,"118.791589594,32.0568317038"
水玉丸作奶茶店,湖南路凤凰广场室外B1楼,"118.789509098,32.0748823912"
巴黎贝甜(鼓楼店),中央路6号,"121.529026058,50.7868337028"
格瑞思面包(常发店),红山路88号1号楼常发广场一楼,"118.816199604,32.0914744838"
江南小镇(凤凰广场店),凤凰广场负一楼,"115.110012416,40.6118191188"
落端云串串香(下马坊店),君临紫金商业街3-117号,"118.816924954,31.9502948704"
新锅土灶(墨香路店),墨香路32号-5,"118.840798722,32.1085800808"
T-COFFEE,成贤街118号科学会堂3号门1F,"118.80298954,32.0627246966"
小二班吃货集结地(丹凤街店),丹凤街17号-7,"118.79357736,32.0597719845"
vagetale轻食物语(环亚凯瑟琳店),安仁街环亚凯瑟琳广场负1楼,"118.795221353,32.0656401056"
和萌牛肠烧肉,薛家巷8号羲和广场一楼,"118.791933196,32.0606017669"
乐百丽比萨(荔枝广场店),北京东路4号荔枝广场2楼205室,"118.792438257,32.063666746"
乐见烤鱼·活鱼炭烤(常发广场店),红山路88号常发广场4楼,"118.816199604,32.0914744838"
佰人王串串香火锅(红庙街店),红庙街9号,"116.408562424,39.8941059112"
鲜满堂石锅米线,珠江路488-7号,"118.80355171,32.0542715184"
DQ(1912店),长江路288号1912街区17号楼1楼,"118.80235893,32.0510636526"
1點點(丹凤街店),丹凤街77-2号,"118.793438936,32.0626587952"
鼎林源兰州牛肉面(珠江路店),珠江路350号银鸿商务中心沿街商铺,"118.800346718,32.0549269087"
美思塔西餐厅.咖啡,童卫路与中山门大街交汇处卫岗28号-6,"118.84776209,32.0446722583"
石榴姐火锅米线(总店),观音阁4号,"118.798084567,32.0538290976"
Coffee Maker,锁金北路锁金三村1幢106室,"118.823203031,32.0806365312"
庆善园韩国料理(1912店),太平北路54号5单元2层,"118.802291407,32.0502971375"
忆湘西正宗湖南米粉(森林摩尔商业街区店),中山门大街301号森林摩尔商业街区B1层,"118.873027782,32.043964499"
吉野叔叔的日料店,明故宫路20号,"118.825348473,32.0468714088"
牛本色(常发广场店),常发广场红山路88号主楼后面内广场儿童游乐场旁152号,"113.547744509,22.2764131334"
大卫厨房(洪武北路店),洪武北路红庙11号,"118.796200397,32.0539739878"
捌零炭烤羊腿(仙鹤门店),鹤鸣路6号仙鹤新天地3幢2楼204室,"118.910359596,32.0915132113"
鱼无双(常发广场店),红山路88号常发广场3楼,"118.816199604,32.0914744838"
麻辣盛艳(珠江路金鹰店),珠江路1号金鹰国际购物中心南馆B1层,"118.791589594,32.0568317038"
糊世刺身(丹凤街店),丹凤街金润发超市正对面,"118.793548232,32.0608118461"
落端云串串香(常发广场店),红山路88号常发广场3栋1楼88-125室,"118.816888205,32.0916530176"
满记甜品(新世界店),南京市玄武区珠江路88号新世界百货01层1号商铺,"118.794628741,32.055707976"
泸溪河,卫岗中山门大街拴马桩,"118.850876849,32.0428161571"
