shop_name,shop_address,location
汪家馄饨(雨花台店),雨花台风景区北大门斜对面,"118.783009339,32.0073323216"
弄堂里(雨花客厅店),软件大道109号雨花客厅8幢2F,"118.771879424,31.9834264306"
S&P;心恩派餐厅(雨花客厅店),安德门大街雨花客厅负一楼,"113.020200715,28.1464443621"
蓝象泰国餐厅(雨花客厅店),软件大道109号,"119.27758786,26.1190882706"
热啊,虹悦城4楼M07,"108.963963576,34.2494891045"
独一道邵伯龙虾(雨花西路店),雨花南路与雨花西路交叉口工商银行旁边,"118.772395945,32.0022200057"
柒云间铁板烧(天隆寺雨花客厅EPARK店),软件大道109号雨花客厅8号楼2楼,"118.771618422,31.9848777492"
L'Arôme Express芳芳简餐厅(虹悦城店),应天大街619号虹悦城负一楼,"118.772547855,32.0151614877"
盱眙杨氏青龙虾(虹悦后街店),长虹南路415号凤凰和美小区大门正对面2楼近虹悦城地下停车场长虹南路出口,"118.772547855,32.0151614877"
渔丼(虹悦城店),应天大街619号虹悦城B1层,"118.772547855,32.0151614877"
鱼米乡(雨花客厅店),软件大道109号雨花客厅2楼,"113.020200715,28.1464443621"
蛙喔潮牌牛蛙餐厅(雨花客厅店),铁心桥镇软件大道109号雨花客厅2F-20号,"113.020200715,28.1464443621"
虾米餐厅(虹悦城店),应天大街619号虹悦城B1层,"118.772547855,32.0151614877"
素匠泰茶(雨花客厅店),软件大道109号雨花客厅7栋117商铺,"118.771879424,31.9834264306"
鱼留唇(虹悦城店),长虹路224号虹悦城负一楼,"118.772547855,32.0151614877"
水林间(虹悦城店),应天大街619号虹悦城B1层,"118.772547855,32.0151614877"
花味(雨花客厅店),软件大道109号,"119.27758786,26.1190882706"
龙景国品(雨花客厅店),软件大道109号雨花客厅9号楼2层21号,"118.771618422,31.9848777492"
米纸越南小馆·PHO(虹悦城店),应天大街619号虹悦城B1层,"118.772547855,32.0151614877"
炎寿司专门店(南站店),绿都大道5号绿地之窗C-213号,"118.796569511,31.973807634"
大咀港式茶餐厅(雨花客厅店),软件大道109号雨花客厅8幢2层05号,"118.771879424,31.9834264306"
遇见拿破仑(全城外送店),丁墙路明发商业广场1幢,"118.803175771,31.98502767"
博串堂(明发商业广场店),明城大道明发广场地铁站2B出口旁,"118.802869892,31.9821874161"
大曜日料,软件大道109号山姆会员店F1,"119.27758786,26.1190882706"
避风塘(虹悦城店),应天大街619号虹悦城4楼M10,"118.772547855,32.0151614877"
丹东丛炟海鲜烧烤,江艺路21-5号,"118.751987796,31.9675520318"
褚记北京烤鸭店(雨花客厅店),软件大道109号雨花客厅E-PARK北区2F-07号,"118.770724023,31.9833965308"
源香潮汕粥(雨花客厅店),软件大道109号雨花客厅9栋2F15号,"118.771879424,31.9834264306"
桃香日式融合料理,卡子门大街活力广场1楼,"118.07075377,36.8740811357"
雀舞·云南菜,软件大道109号雨花客厅2F-06,"113.020200715,28.1464443621"
晋家门(雨花客厅店),丰盛雨花客厅2楼,"118.771618422,31.9848777492"
六串门(楚翘城店),宁双路楚翘城一楼,"118.771175734,31.976814944"
大牌小厨(虹悦城店),应天大街619号虹悦城B1层,"118.772547855,32.0151614877"
小伙子烧烤,春园路1号楼105室,"118.755910217,31.9649653715"
夜上海(虹悦城店),应天大街619号虹悦城4层,"118.772547855,32.0151614877"
钱记生态酒店,紫荆花东路20号,"118.800763679,31.9986047494"
雪香东北菜(虹悦城店),应天大街619号虹悦城5层,"118.772547855,32.0151614877"
源氏物语(雨花客厅E-Park店),软件大道109号雨花客厅E-PARK购物中心二楼F04,"118.770724023,31.9833965308"
云海肴云南菜(虹悦城店),应天大街619号4F-E06,"118.773367377,32.0150706698"
雅宴精致涮涮锅(雨花客厅店),安德门大街47号雨花客厅9号楼2楼F18,"118.771618422,31.9848777492"
七欣天品蟹轩(紫荆广场店),雨花东路158号,"118.799679374,31.9985134318"
新石器烤肉(虹悦城店),应天大街619号虹悦城B1-W16号,"118.770597452,32.0150492765"
江宴渔村(紫荆广场三店),雨花东路紫荆广场,"118.800620978,31.998112511"
厨娘.CN(虹悦城店),应天大街619号虹悦城4层,"118.772547855,32.0151614877"
吾心面馆,绿都大道13号103-104,"118.798769061,31.976139803"
尚玖金湖龙虾烤吧,春江路49号蓝岸尚城2幢102室,"118.76656415,31.9672661666"
金玺泰茶,雨花西路龙翔百货市场A1105,"118.775418622,32.0060355456"
伍舍清尚日本料理(楚翘城店),楚翘城一楼111A,"118.771175734,31.976814944"
小胖子龙虾肚包鸡,新湖大道9号花生唐广场3栋113,"118.665962067,31.9131469068"
武面(虹悦城店),应天大街619号虹悦城B1层,"118.772547855,32.0151614877"
第八仙烤鸭舌,雨花西路123号-1,"118.77382699,32.0035621965"
苗小坛酸汤鱼捞饭(铁心桥店),铁心桥街道软件大道109号3幢,"118.770724023,31.9833965308"
汉堡王(南京紫荆广场店),养回红村158号紫荆广场一层255、二层324号商铺,"121.523047723,31.2807606686"
西贝莜面村(南京华为店),软件大道101号华为食堂,"118.776173132,31.9827115564"
