shop_name,shop_address,location
小厨娘淮扬菜(高淳店),高淳区淳溪镇天河路7号,"118.871792303,31.3274368952"
在水一方(固城湖南路店),淳兴路11-17号力派健身旁,"118.885208585,31.3248180403"
和湘汇(富克斯店),富克斯商场5楼,
初香逸外婆家,富克斯商场负1楼,"87.6023882419,43.8422436531"
楼兰新疆主题餐厅(八佰伴店),宝塔路61号八佰伴5楼,"119.456293002,32.2104476323"
疯狂烧烤(高淳店),宝塔路208-8号，新华盛会正对面,"114.453501429,38.1172186405"
必胜客(富克斯店),"南京市塔路北侧,淳中路东侧富克斯流行广场一层,二层","118.876320465,31.3293396574"
鸿运龙虾,淳溪镇北漪路5号4-19,"118.887086592,31.3317578536"
和风小屋,镇兴路党校对面,"107.074564479,29.8382788391"
鲍师傅糕点,淳溪镇淳中路28-3号,"118.875617541,31.3297737213"
牛脾气自助火锅店,小河路56号曼度·老街东,"120.710819748,27.8296106845"
飞碟鱼(富克斯店),淳溪镇富克斯商场负1楼,"118.892243288,31.3391536959"
活粥王(步行街店),中山大街166号,"118.873679546,31.3276280925"
奶酪时光(高淳八佰伴店),淳溪镇宝塔路61号,"118.882612735,31.329782975"
百年面道(高淳店),天河路7-5号红日主题宾馆315房间,"106.806435065,39.6621819902"
辣妈餐厅,宝塔路,"121.521816026,30.8211602302"
友达面馆,小河路56号3栋303,"118.878200169,31.3256255757"
花筏日式料理,固城湖北路4--201号,"118.8840724,31.3300020561"
京茶山手作茶物(高淳店),淳溪镇镇北路26号-17,"118.874070659,31.3292069333"
悠仙美地(云鼎店),高淳淳溪镇丹阳湖北路17号云鼎购物中心一楼,"118.902087055,31.3367627458"
日山晴萃,淳中路10号富克斯流行广场,"118.876320465,31.3293396574"
等一等香锅餐厅(高淳店),富克斯流行广场负一楼,"118.876320465,31.3293396574"
一芳台湾水果茶(淳中路店),南京市高淳区淳溪镇淳中路28-1号,"118.875617541,31.3297737213"
万氏龙虾(北岭路店),淳溪镇北岭路229号-30,"118.897099641,31.3394942052"
元祖食品(高淳店),高淳县淳溪镇通贤街66号,"118.971899793,31.3363813481"
肯德基(南京高淳宏达店),通贤街28-3号宏达大厦1-2层,"118.874779814,31.3276141856"
阿源师台湾特色小吃,淳溪镇淳中路10号富克斯流行广场负一层美食广场档7,"118.876320465,31.3293396574"
肠粉王,淳溪镇栗园路35-1,"118.878730978,31.332227681"
巧大厨酸菜鱼(高淳店),石臼湖北路69-11号,"118.893347724,31.3415964598"
韩悦韩式烤肉(富克斯店),富克斯商场5楼,
蜀锦香厕所串串(学山路店),学山路26-4号,"105.067754054,29.5905598194"
老乡鸡(南京高淳悦达广场店),淳溪镇镇兴路138号,"118.880609155,31.3344144676"
Jun Cake,淳溪镇中山大街166号2幢-13,"118.874119167,31.3278612798"
红鼎记精品龙虾馆,淳溪镇北漪路5-1号,"118.88760777,31.3322436278"
阿里至尊休闲餐厅(高淳店),淳溪镇中山大街178号1栋-16室,"118.873363682,31.3283774801"
柠檬鱼(高淳直营99店),石臼湖北路19-9号,"118.893440118,31.3400048883"
淳安面馆,淳溪镇淳安路5号106室,"118.882224605,31.3317210708"
安特鲁(凤岭山庄店),淳溪镇大丰路凤岭山庄16幢-1,"118.882208692,31.3378792257"
辣尚仙时尚焖锅(高淳店),淳溪镇丹阳湖北路11号,"118.901822914,31.33518065"
京畿道韩国料理,固城湖南路11号-14室,"118.884360748,31.3286594205"
麻辣有道(高淳店),淳溪镇小河沿32号,"118.877334652,31.3268533765"
永和豆浆(宝塔路店),宝塔路188-3号,"118.888970151,31.3297132114"
知鱼堂,淳溪镇，淳中路37号,"118.874101341,31.3307046727"
杨国福麻辣烫(高淳店),镇北路32-17号,"118.87120192,31.3285666823"
功夫煲仔(高淳店),中山步行街56-18号,"118.376209623,31.3363155939"
鹿谷製茶(高淳宝塔店),淳溪镇宝塔路17号,"118.878815508,31.3284905391"
上海生煎(宝塔店),宝塔路188-9号，慢城故事旁,"118.888970151,31.3297132114"
劲面锅贴龙虾馆,淳溪镇北岭路229号-21,"118.897099641,31.3394942052"
淳味家常菜,淳溪镇北岭路98-45号,"118.879315628,31.336985439"
50岚(高淳店),宝塔路23-8,"118.879460252,31.3285641334"
广福记冒菜(高淳店),宝塔路196-2号,"118.890312102,31.3298917951"
首尔馆韩国料理,中山大街188号2-3号,"118.873508892,31.3286622154"
美满吉,淳溪镇栗园路33-2号,"118.87863441,31.3320345544"
贡茶(栗园路店),淳溪镇栗园路9-11号,"118.877074637,31.3310873069"
万氏龙虾(华天店),高淳县淳溪镇北漪路5号2-8,"118.971899793,31.3363813481"
甜荟奶霜茶饮,学山路26-1号,"105.067754054,29.5905598194"
享尼莱(中山大街店),中山大街168号1-19,"118.873176685,31.3278918671"
味江南(古柏店),古柏镇茅山商业街A27号,"118.946484982,31.3672668076"
风雷烧烤,淳溪镇宝塔路208号-2,"118.891212843,31.3298919367"
四川肥肥专业酸菜鱼连锁(固城湖南路店),固城湖南路11号，温州商贸城对面,"118.884320022,31.3286034114"
沙师弟烧烤,北岭路160号1幢4号,"118.8864655,31.338238646"
老台北,淳溪镇天河路38号,"118.87218242,31.3278288914"
卤味牛肉锅(高淳店),北岭路180-19号,"118.895116899,31.3387668874"
石锅拌饭,淳溪镇宝塔路198-1号,"118.890931115,31.3298298385"
烧烤部落(古柏店),古柏镇桃源雅居A区茅山路A43,"118.946877476,31.3670728192"
蔷子杂粮饼(高淳店),古柏镇茅山路10号,"118.936408804,31.3603117529"
芝根芝底 现烤披萨(高淳区栗园路店),淳溪镇栗园路9号-4,"118.876934477,31.3311674034"
忘不了饭店,双高路28-44号,"118.931965854,31.3490824989"
N多寿司(天河路店),天河路31号,"118.871792107,31.3282400698"
寅春百年老卤面(高淳店),淳溪镇学山路26幢-2,"118.876557348,31.3301483008"
玖味龙虾,淳溪镇石臼湖北路27号一楼B1,"118.893650772,31.3411967345"
大拇指,镇北路28-1号,"118.873513412,31.3291893805"
又卷烧饼,淳溪镇固城湖南路1号5,"118.884235267,31.3291445368"
任师傅烤肉饭(学山路店),学山路26-10号,"105.067754054,29.5905598194"
重庆小面(古柏店),茅山路,"119.345422763,31.3598175255"
美满吉(古柏店),古柏镇社区服务中心11号古柏菜场北门,"118.945424396,31.3679290174"
火山烧烤,淳溪镇北岭路96号-19,"118.877766198,31.3370594554"
盱眙面馆(古柏店),古柏镇经济开发区茅山路51-2号03栋商住楼104,"118.945451692,31.3671361338"
舞茶道(天河路店),天河路28号,"121.586044,38.9912851056"
新食客中式连锁快餐(古柏店),茅山路109号,"118.945668707,31.3674002322"
小笼汤包,南漪路2-2,"118.88869115,31.3294383326"
小柒私房菜,淳溪镇小河路56号1幢105号,"118.878200169,31.3256255757"
虾跳跳,淳溪镇宝塔路133号-3,"118.889637826,31.3304700287"
桥头排骨(古柏店),古柏镇茅山路商业街A51号,"118.94736101,31.3679536784"
奇鱼夫,淳溪镇小河沿56号4幢曼度老街东,"118.878166303,31.3255862716"
杨铭宇黄焖鸡米饭(古柏店),古柏镇茅山路,"118.934393119,31.3976730486"
蒙缘聚草原烧烤,固城湖北路25号,"118.883620544,31.3317624647"
虾咔啦咔精品龙虾馆,丹凤路华天菜场西门对面,"116.42049789,39.9088136579"
茶研社,茅山路24号,"119.368091259,34.6840684608"
爱小西私家美食,淳溪镇宝塔路142-3号,"118.884831894,31.3295284066"
正新鸡排(高淳店),高淳县淳溪镇天河路78号,"118.971899793,31.3363813481"
大脸鸡排(华天店),淳溪镇北漪路8号6幢3号,"118.887976278,31.3322781892"
老北京羊蝎子火锅,淳溪镇镇北路34号,"118.870920617,31.3276839413"
椿林麻辣烫(高淳店),镇北路26-13号,"118.874030714,31.329430993"
贵州米粉米线,栗园路15号,"118.87787094,31.3317172769"
龙门花甲(高淳店),学山路97号,"105.067552793,29.5912034276"
桥头排骨(华天店),北漪路16号,"118.888704094,31.332499291"
大脸鸡排(古柏店),茅山路古柏菜场B29号,"118.945337307,31.3675889945"
舞茶道(北漪路店),北漪路10号,"118.888945775,31.3315870141"
沪上阿姨现煮茶饮(富克斯店),富克斯商场负2楼,
山鸡里脊肉麻辣烫(栗园路店),淳溪镇栗园路17号,"118.877916843,31.3317478133"
豪客多奶茶连锁专卖店(襟湖路店),襟湖路6-6号,"118.871055058,31.3262951502"
椿林椿林麻辣烫,古柏镇桃源雅居A区茅山路A18号,"118.946877476,31.3670728192"
黑泷太郎,淳溪镇淳中路37号20号,"118.874950728,31.3302811287"
